ENSG00000186092.6	OR4F5
ENSG00000186377.7	CYP4X1
ENSG00000186160.4	CYP4Z1
ENSG00000162365.11	CYP4A22
ENSG00000162366.7	PDZK1IP1
ENSG00000162367.11	TAL1
ENSG00000123473.15	STIL
ENSG00000162368.13	CMPK1
ENSG00000186790.5	FOXE3
ENSG00000186564.5	FOXD2
ENSG00000269113.3	TRABD2B
ENSG00000117834.12	SLC5A9
ENSG00000132122.11	SPATA6
ENSG00000186094.16	AGBL4
ENSG00000162373.12	BEND5
ENSG00000162374.16	ELAVL4
ENSG00000142700.11	DMRTA2
ENSG00000185104.19	FAF1
ENSG00000123080.10	CDKN2C
ENSG00000204006.9	C1orf185
ENSG00000123091.4	RNF11
ENSG00000085831.15	TTC39A
ENSG00000085832.16	EPS15
ENSG00000117859.18	OSBPL9
ENSG00000078618.21	NRDC
ENSG00000169213.6	RAB3B
ENSG00000117862.12	TXNDC12
ENSG00000285839.1	AL445685.3
ENSG00000198841.3	KTI12
ENSG00000134717.17	BTF3L4
ENSG00000157077.14	ZFYVE9
ENSG00000154222.14	CC2D1B
ENSG00000085840.12	ORC1
ENSG00000134748.12	PRPF38A
ENSG00000134744.13	TUT4
ENSG00000116157.5	GPX7
ENSG00000182183.14	SHISAL2A
ENSG00000162377.5	COA7
ENSG00000162378.12	ZYG11B
ENSG00000203995.9	ZYG11A
ENSG00000121310.16	ECHDC2
ENSG00000116171.17	SCP2
ENSG00000174348.13	PODN
ENSG00000162383.12	SLC1A7
ENSG00000157184.6	CPT2
ENSG00000162384.13	C1orf123
ENSG00000162385.10	MAGOH
ENSG00000157193.16	LRP8
ENSG00000143006.7	DMRTB1
ENSG00000174332.5	GLIS1
ENSG00000058804.11	NDC1
ENSG00000058799.14	YIPF1
ENSG00000211452.10	DIO1
ENSG00000081870.11	HSPB11
ENSG00000116212.14	LRRC42
ENSG00000203985.10	LDLRAD1
ENSG00000116209.11	TMEM59
ENSG00000116205.13	TCEANC2
ENSG00000256407.2	AL357673.1
ENSG00000157211.11	CDCP2
ENSG00000215883.10	CYB5RL
ENSG00000116221.15	MRPL37
ENSG00000157216.15	SSBP3
ENSG00000162390.17	ACOT11
ENSG00000162391.11	FAM151A
ENSG00000184313.19	MROH7
ENSG00000271723.5	MROH7-TTC4
ENSG00000243725.6	TTC4
ENSG00000162396.5	PARS2
ENSG00000006555.10	TTC22
ENSG00000162398.11	LEXM
ENSG00000116133.12	DHCR24
ENSG00000143001.4	TMEM61
ENSG00000162399.7	BSND
ENSG00000169174.10	PCSK9
ENSG00000162402.13	USP24
ENSG00000284686.1	AC119674.2
ENSG00000162407.8	PLPP3
ENSG00000162409.10	PRKAA2
ENSG00000187889.12	FYB2
ENSG00000157131.10	C8A
ENSG00000021852.12	C8B
ENSG00000173406.15	DAB1
ENSG00000162600.11	OMA1
ENSG00000184292.6	TACSTD2
ENSG00000162601.9	MYSM1
ENSG00000177606.6	JUN
ENSG00000172456.17	FGGY
ENSG00000134709.10	HOOK1
ENSG00000134716.10	CYP2J2
ENSG00000162598.13	C1orf87
ENSG00000162599.15	NFIA
ENSG00000162604.12	TM2D1
ENSG00000132849.20	PATJ
ENSG00000240563.1	L1TD1
ENSG00000132854.18	KANK4
ENSG00000162607.12	USP1
ENSG00000116641.17	DOCK7
ENSG00000132855.4	ANGPTL3
ENSG00000125703.14	ATG4C
ENSG00000187140.5	FOXD3
ENSG00000088035.16	ALG6
ENSG00000142856.16	ITGB3BP
ENSG00000203965.12	EFCAB7
ENSG00000079739.16	PGM1
ENSG00000185483.11	ROR1
ENSG00000177414.13	UBE2U
ENSG00000158966.14	CACHD1
ENSG00000162437.14	RAVER2
ENSG00000162434.11	JAK1
ENSG00000162433.14	AK4
ENSG00000116675.15	DNAJC6
ENSG00000213625.8	LEPROT
ENSG00000116678.19	LEPR
ENSG00000184588.17	PDE4B
ENSG00000118473.21	SGIP1
ENSG00000152760.9	TCTEX1D1
ENSG00000172410.4	INSL5
ENSG00000152763.16	WDR78
ENSG00000198160.14	MIER1
ENSG00000116704.7	SLC35D1
ENSG00000203963.11	C1orf141
ENSG00000162594.15	IL23R
ENSG00000081985.11	IL12RB2
ENSG00000142864.14	SERBP1
ENSG00000116717.12	GADD45A
ENSG00000172380.5	GNG12
ENSG00000162595.6	DIRAS3
ENSG00000116729.13	WLS
ENSG00000116745.6	RPE65
ENSG00000024526.16	DEPDC1
ENSG00000033122.18	LRRC7
ENSG00000066557.5	LRRC40
ENSG00000116754.13	SRSF11
ENSG00000118454.12	ANKRD13C
ENSG00000197568.13	HHLA3
ENSG00000116761.11	CTH
ENSG00000050628.20	PTGER3
ENSG00000132485.13	ZRANB2
ENSG00000172260.14	NEGR1
ENSG00000162620.15	LRRIQ3
ENSG00000254685.6	FPGT
ENSG00000259030.7	FPGT-TNNI3K
ENSG00000116783.14	TNNI3K
ENSG00000162621.6	LRRC53
ENSG00000178965.13	ERICH3
ENSG00000116791.13	CRYZ
ENSG00000162623.15	TYW3
ENSG00000162624.14	LHX8
ENSG00000137968.16	SLC44A5
ENSG00000117054.13	ACADM
ENSG00000137955.15	RABGGTB
ENSG00000057468.6	MSH4
ENSG00000154007.6	ASB17
ENSG00000184005.10	ST6GALNAC3
ENSG00000117069.14	ST6GALNAC5
ENSG00000142892.14	PIGK
ENSG00000154027.18	AK5
ENSG00000036549.12	AC118549.1
ENSG00000077254.14	USP33
ENSG00000180488.15	MIGA1
ENSG00000162614.18	NEXN
ENSG00000162613.16	FUBP1
